Gene	sgRNA	P3_F6.fq|beta	P3_F6.fq|z	P3_F6.fq|p-value	P3_F6.fq|fdr	P3_F6.fq|wald-p-value	P3_F6.fq|wald-fdr	P3_F7.fq|beta	P3_F7.fq|z	P3_F7.fq|p-value	P3_F7.fq|fdr	P3_F7.fq|wald-p-value	P3_F7.fq|wald-fdr	P3_F8.fq|beta	P3_F8.fq|z	P3_F8.fq|p-value	P3_F8.fq|fdr	P3_F8.fq|wald-p-value	P3_F8.fq|wald-fdr
SOX9	6	0.036487	0.089351	0.5	0.71429	0.9288	0.9288	0.74918	1.8347	0	0	0.066543	0.22181	0.78937	1.9329	0	0	0.053243	0.26622
PROM1	6	-0.11746	-1.3479	0.3	0.6	0.17769	0.68062	-0.051414	-0.58998	0.5	0.66667	0.55521	0.68077	-0.062763	-0.72019	0.5	0.625	0.47141	0.5892
KRT20	6	-0.064831	-0.71205	0.4	0.66667	0.47643	0.68062	-0.17781	-1.9529	0	0	0.050828	0.22181	-0.10397	-1.1418	0.3	0.6	0.25355	0.51572
LRIG1	6	-0.098053	-1.1616	0.3	0.6	0.24541	0.68062	-0.20402	-2.4169	0	0	0.015653	0.15653	-0.19616	-2.3235	0	0	0.020151	0.20151
CTRL	10	-0.038094	-0.81879	0.8	1	0.4129	0.68062	-0.025515	-0.54843	0.6	0.66667	0.5834	0.68077	-0.019633	-0.42196	0.6	0.66667	0.67306	0.67306
ROSA26	10	0.014895	0.31627	1	1	0.7518	0.83533	-0.025841	-0.54867	0.6	0.66667	0.58323	0.68077	-0.029562	-0.62758	0.5	0.625	0.53028	0.5892
CCR5	10	-0.026849	-0.51094	0.9	1	0.60939	0.76174	-0.087176	-1.6589	0.3	0.6	0.097127	0.24282	-0.074628	-1.42	0.3	0.6	0.15559	0.51572
AAVS1	10	0.070263	1.015	0.3	0.6	0.3101	0.68062	0.0056415	0.081495	0.7	0.7	0.93505	0.93505	0.074699	1.0788	0.9	0.9	0.2807	0.51572
EGFP	6	1.0639	0.72621	0	0	0.46771	0.68062	1.3125	0.89587	0	0	0.37032	0.68077	1.3384	0.91345	0	0	0.36101	0.51572
mKate2	6	-0.13103	-1.6648	0.2	0.6	0.095948	0.68062	-0.039844	-0.50624	0.6	0.66667	0.61269	0.68077	-0.075904	-0.96439	0.4	0.625	0.33485	0.51572
