sgRNA	Gene	S73_MNSC510_F1	S74_MNSC510_F2	S75_MNSC510_F3	S76_MNSC510_F4
SOX9_g1	SOX9	1935	1197	1519	2111
SOX9_g2	SOX9	1596	610	1355	2047
SOX9_g3	SOX9	1163	600	753	1272
SOX9_g4	SOX9	1226	550	948	1438
SOX9_g5	SOX9	2039	819	1647	2422
SOX9_g6	SOX9	3876	2085	2326	3902
PROM1_g1	PROM1	2079	1986	1462	1873
PROM1_g2	PROM1	3412	3291	2206	2967
PROM1_g3	PROM1	2109	2308	1380	1923
PROM1_g4	PROM1	3580	3597	2211	3292
PROM1_g5	PROM1	2038	2148	1215	1786
PROM1_g6	PROM1	4965	4957	3069	4506
KRT20_g1	KRT20	599	2100	1709	1714
KRT20_g2	KRT20	621	2828	2500	2508
KRT20_g3	KRT20	567	2383	2054	2062
KRT20_g4	KRT20	288	1152	946	997
KRT20_g5	KRT20	848	3789	3095	3024
KRT20_g6	KRT20	455	1603	1467	1470
LRIG1_g1	LRIG1	2243	2475	1521	2088
LRIG1_g2	LRIG1	1341	1474	845	1146
LRIG1_g3	LRIG1	1509	1743	1024	1520
LRIG1_g4	LRIG1	2717	2917	1795	2607
LRIG1_g5	LRIG1	4089	4414	2596	3618
LRIG1_g6	LRIG1	1502	1598	938	1335
CTRL0001_g1	CTRL	1977	1995	1227	1756
CTRL0002_g2	CTRL	1971	1909	1207	1696
CTRL0003_g3	CTRL	6461	5894	4000	5617
CTRL0004_g4	CTRL	1022	1040	599	957
CTRL0005_g5	CTRL	2048	2029	1256	1795
CTRL0006_g6	CTRL	3586	3480	2360	3215
CTRL0007_g7	CTRL	2278	2339	1458	1976
CTRL0008_g8	CTRL	2211	2312	1418	2017
CTRL0009_g9	CTRL	2089	2020	1274	1850
CTRL0010_g10	CTRL	3291	3307	2120	3020
ROSA26_g1	ROSA26	6932	7023	4275	6248
ROSA26_g2	ROSA26	2899	2966	1749	2717
ROSA26_g3	ROSA26	3287	3471	2095	2973
ROSA26_g4	ROSA26	2484	2667	1613	2252
ROSA26_g5	ROSA26	2171	2068	1240	1802
ROSA26_g6	ROSA26	3230	3050	1781	2632
ROSA26_g7	ROSA26	2130	2101	1381	1831
ROSA26_g8	ROSA26	1822	1814	1157	1695
ROSA26_g9	ROSA26	810	771	537	782
ROSA26_g10	ROSA26	2233	1937	1424	2019
CCR5_g1	CCR5	1537	1348	956	1345
CCR5_g2	CCR5	2407	2460	1501	2097
CCR5_g3	CCR5	1458	1372	914	1252
CCR5_g4	CCR5	1202	1037	620	975
CCR5_g5	CCR5	1720	1722	1139	1541
CCR5_g6	CCR5	1604	1644	994	1315
CCR5_g7	CCR5	3709	3288	2191	3157
CCR5_g8	CCR5	2300	2037	1370	1976
CCR5_g9	CCR5	1333	1234	791	1126
CCR5_g10	CCR5	1903	1815	1328	1582
AAVS1_g1	AAVS1	2442	2585	1489	2322
AAVS1_g2	AAVS1	2452	2272	1429	2133
AAVS1_g3	AAVS1	1767	1627	1040	1367
AAVS1_g4	AAVS1	1065	1068	625	840
AAVS1_g5	AAVS1	1861	1883	1163	1580
AAVS1_g6	AAVS1	903	881	593	836
AAVS1_g7	AAVS1	1494	1404	839	1138
AAVS1_g8	AAVS1	2700	2546	1583	2271
AAVS1_g9	AAVS1	811	841	457	706
AAVS1_g10	AAVS1	1133	1148	680	1016
EGFP_g1	EGFP	412	3031	2405	2204
EGFP_g2	EGFP	436	3854	3228	2791
EGFP_g3	EGFP	295	2044	1822	1652
EGFP_g4	EGFP	297	2012	1682	1568
EGFP_g5	EGFP	430	3401	2853	2625
EGFP_g6	EGFP	1072	3795	3075	3088
mKate2_g1	mKate2	3358	355	3018	2791
mKate2_g2	mKate2	4118	455	3897	3489
mKate2_g3	mKate2	3501	411	3493	3054
mKate2_g4	mKate2	2635	1043	2227	2430
mKate2_g5	mKate2	2857	444	2764	2665
mKate2_g6	mKate2	5606	690	5509	5172
