Gene	sgRNA	S74_MNSC510_F2|beta	S74_MNSC510_F2|z	S74_MNSC510_F2|p-value	S74_MNSC510_F2|fdr	S74_MNSC510_F2|wald-p-value	S74_MNSC510_F2|wald-fdr	S75_MNSC510_F3|beta	S75_MNSC510_F3|z	S75_MNSC510_F3|p-value	S75_MNSC510_F3|fdr	S75_MNSC510_F3|wald-p-value	S75_MNSC510_F3|wald-fdr	S76_MNSC510_F4|beta	S76_MNSC510_F4|z	S76_MNSC510_F4|p-value	S76_MNSC510_F4|fdr	S76_MNSC510_F4|wald-p-value	S76_MNSC510_F4|wald-fdr
Vector	1	0.0064217	0.022385	0.72727	0.9	0.98214	0.98214	0.28279	0.98573	0.27273	0.33333	0.32427	0.43683	0.13315	0.46413	0.27273	0.33333	0.64256	0.78535
SOX9	6	-0.7246	-4.5423	0	0	5.5657e-06	3.0611e-05	0.15377	0.96411	0.81818	0.81818	0.33499	0.43683	0.23045	1.445	0.54545	0.54545	0.14845	0.54432
PROM1	6	0.011023	0.47584	0.90909	0.90909	0.63419	0.69761	0.0055491	0.23953	0.27273	0.33333	0.81069	0.81069	-0.0061875	-0.2671	0.27273	0.33333	0.78939	0.86833
KRT20	6	1.3894	0.9535	0	0	0.34033	0.55724	1.6821	1.1544	0	0	0.24836	0.43683	1.337	0.91753	0	0	0.35887	0.78535
LRIG1	6	0.090507	3.1981	0.72727	0.9	0.0013833	0.005072	0.023967	0.84679	0.27273	0.33333	0.39711	0.43683	0.018377	0.64936	0.54545	0.54545	0.51611	0.78535
CTRL	10	-0.0098168	-0.81502	0.81818	0.9	0.41506	0.55724	-0.016718	-1.3878	0	0	0.16518	0.40591	-0.01396	-1.159	0.090909	0.16667	0.24647	0.67779
ROSA26	10	-0.014622	-0.79257	0.81818	0.9	0.42803	0.55724	-0.024486	-1.327	0	0	0.1845	0.40591	-0.010448	-0.56631	0.090909	0.16667	0.57118	0.78535
CCR5	10	-0.065631	-2.6232	0.54545	0.9	0.0087105	0.023954	-0.034377	-1.3739	0	0	0.16948	0.40591	-0.058749	-2.3481	0	0	0.018869	0.10378
AAVS1	10	-0.019047	-0.8225	0.81818	0.9	0.41079	0.55724	-0.064534	-2.7861	0	0	0.005335	0.058685	-0.059441	-2.5667	0	0	0.010266	0.10378
EGFP	6	1.863	0.74558	0	0	0.45592	0.55724	2.1358	0.85474	0	0	0.39269	0.43683	1.7016	0.68097	0	0	0.49589	0.78535
mKate2	6	-1.857	-6.9142	0	0	4.704e-12	5.1744e-11	0.39536	1.4723	0.63636	0.7	0.14093	0.40591	-0.020201	-0.07523	0.27273	0.33333	0.94003	0.94003
