Gene	sgRNA	S02_MNSC501_F2|beta	S02_MNSC501_F2|z	S02_MNSC501_F2|p-value	S02_MNSC501_F2|fdr	S02_MNSC501_F2|wald-p-value	S02_MNSC501_F2|wald-fdr	S03_MNSC501_F3|beta	S03_MNSC501_F3|z	S03_MNSC501_F3|p-value	S03_MNSC501_F3|fdr	S03_MNSC501_F3|wald-p-value	S03_MNSC501_F3|wald-fdr	S04_MNSC501_F4|beta	S04_MNSC501_F4|z	S04_MNSC501_F4|p-value	S04_MNSC501_F4|fdr	S04_MNSC501_F4|wald-p-value	S04_MNSC501_F4|wald-fdr
Vector	1	1.3179	0.57955	0.090909	0.2	0.56222	0.68715	0.42343	0.18621	0.27273	0.33333	0.85228	0.85228	0.38919	0.17115	0.27273	0.33333	0.8641	0.89617
SOX9	6	0.62125	0.63713	0.090909	0.2	0.52404	0.68715	1.232	1.2644	0.090909	0.14286	0.20608	0.60783	1.375	1.4111	0	0	0.15821	0.43507
PROM1	6	0.1417	2.1656	0.81818	0.81818	0.03034	0.066748	-0.033439	-0.51109	0.090909	0.14286	0.60929	0.74468	-0.060788	-0.92909	0.090909	0.125	0.35284	0.64688
KRT20	6	0.13702	2.3191	0.81818	0.81818	0.02039	0.056072	0.031376	0.53117	0.45455	0.5	0.5953	0.74468	0.088581	1.4996	0.63636	0.63636	0.13372	0.43507
LRIG1	6	0.041152	0.71686	0.72727	0.81818	0.47346	0.68715	-0.070242	-1.2238	0	0	0.22103	0.60783	-0.096274	-1.6773	0	0	0.093481	0.43507
CTRL	10	-0.074738	-2.4039	0.090909	0.2	0.016222	0.056072	0.057048	1.8352	0.27273	0.33333	0.066471	0.36559	-0.0040569	-0.13051	0.090909	0.125	0.89617	0.89617
ROSA26	10	0.052225	1.6687	0.45455	0.625	0.095186	0.17451	-0.057563	-1.8397	0.090909	0.14286	0.065808	0.36559	-0.046553	-1.4878	0.090909	0.125	0.1368	0.43507
CCR5	10	0.017179	0.475	0.18182	0.33333	0.63479	0.69826	-0.0068286	-0.18885	0.090909	0.14286	0.85021	0.85228	-0.035124	-0.97134	0.090909	0.125	0.33138	0.64688
AAVS1	10	0.15842	3.3257	0.45455	0.625	0.00088197	0.0048508	-0.050094	-1.0519	0.090909	0.14286	0.29283	0.64422	-0.014518	-0.30487	0.090909	0.125	0.76047	0.89617
EGFP	6	1.5036	0.28914	0	0	0.77248	0.77248	2.8052	0.53949	0	0	0.58955	0.74468	2.715	0.52215	0	0	0.60156	0.88457
mKate2	6	-0.30334	-3.7618	0	0	0.00016872	0.0018559	0.065438	0.81169	0.72727	0.72727	0.41697	0.74468	0.037332	0.46306	0.54545	0.6	0.64332	0.88457
