Gene	sgRNA	S06_MNSC501_F6|beta	S06_MNSC501_F6|z	S06_MNSC501_F6|p-value	S06_MNSC501_F6|fdr	S06_MNSC501_F6|wald-p-value	S06_MNSC501_F6|wald-fdr	S07_MNSC501_F7|beta	S07_MNSC501_F7|z	S07_MNSC501_F7|p-value	S07_MNSC501_F7|fdr	S07_MNSC501_F7|wald-p-value	S07_MNSC501_F7|wald-fdr	S08_MNSC501_F8|beta	S08_MNSC501_F8|z	S08_MNSC501_F8|p-value	S08_MNSC501_F8|fdr	S08_MNSC501_F8|wald-p-value	S08_MNSC501_F8|wald-fdr
Vector	1	0.34887	0.41906	0.36364	0.44444	0.67517	0.75098	0.39589	0.47553	0.36364	0.5	0.63441	0.77539	0.59481	0.71448	0.36364	0.44444	0.47493	0.81514
SOX9	6	1.0173	0.93302	0	0	0.35081	0.75098	1.2797	1.1734	0	0	0.24063	0.45635	1.4136	1.2964	0	0	0.19485	0.71444
PROM1	6	-0.046307	-0.82113	0.27273	0.42857	0.41157	0.75098	-0.092538	-1.6403	0.36364	0.5	0.10095	0.37016	-0.058914	-1.0442	0.27273	0.44444	0.29638	0.81506
KRT20	6	-0.043929	-0.8057	0.27273	0.42857	0.42042	0.75098	-0.0028721	-0.052651	0.45455	0.5	0.95801	0.95801	-0.024261	-0.44468	0.45455	0.45455	0.65655	0.81514
LRIG1	6	-0.049546	-0.56362	0.27273	0.42857	0.57301	0.75098	-0.21958	-2.4961	0	0	0.012558	0.13814	-0.2766	-3.1435	0	0	0.0016692	0.018361
CTRL	10	-0.092211	-1.545	0.18182	0.42857	0.12234	0.75098	-0.033108	-0.55456	0.36364	0.5	0.57919	0.77539	-0.095466	-1.5988	0.18182	0.44444	0.10986	0.60421
ROSA26	10	0.046779	0.82997	0.63636	0.63636	0.40655	0.75098	-0.10325	-1.831	0	0	0.067104	0.36907	-0.018421	-0.32666	0.36364	0.44444	0.74393	0.81514
CCR5	10	-0.033286	-0.52955	0.36364	0.44444	0.59642	0.75098	-0.072504	-1.153	0	0	0.24892	0.45635	-0.014702	-0.23379	0.36364	0.44444	0.81514	0.81514
AAVS1	10	-0.020438	-0.31735	0.45455	0.5	0.75098	0.75098	0.0061869	0.095979	0.45455	0.5	0.92354	0.95801	-0.022825	-0.35399	0.36364	0.44444	0.72334	0.81514
EGFP	6	2.4446	0.40972	0	0	0.68201	0.75098	2.8642	0.48005	0	0	0.63119	0.77539	2.7496	0.46083	0	0	0.64492	0.81514
mKate2	6	-0.021666	-0.33534	0.27273	0.42857	0.73737	0.75098	0.083966	1.2993	0.81818	0.81818	0.19383	0.45635	-0.037482	-0.5799	0.45455	0.45455	0.56198	0.81514
