sgRNA	Gene	S29_MNSC504_F5	S30_MNSC504_F6	S31_MNSC504_F7	S32_MNSC504_F8
SOX9_g1	SOX9	2728	2270	2076	2154
SOX9_g2	SOX9	2399	1473	1697	1692
SOX9_g3	SOX9	1814	1226	1266	1255
SOX9_g4	SOX9	1521	861	1240	1209
SOX9_g5	SOX9	2886	1617	2275	2295
SOX9_g6	SOX9	3580	3059	2955	2315
PROM1_g1	PROM1	1603	2424	1711	1211
PROM1_g2	PROM1	2289	3373	2374	1695
PROM1_g3	PROM1	1594	2411	1718	1130
PROM1_g4	PROM1	2480	3815	2768	1878
PROM1_g5	PROM1	1428	2214	1520	1100
PROM1_g6	PROM1	3540	5488	3950	2654
KRT20_g1	KRT20	682	2114	1690	1281
KRT20_g2	KRT20	985	2725	2555	6388
KRT20_g3	KRT20	771	2289	1840	1477
KRT20_g4	KRT20	354	1120	910	715
KRT20_g5	KRT20	1057	3637	2916	2111
KRT20_g6	KRT20	632	1659	1376	1035
LRIG1_g1	LRIG1	1909	2734	1852	1383
LRIG1_g2	LRIG1	1028	1520	1108	746
LRIG1_g3	LRIG1	1183	1733	1276	888
LRIG1_g4	LRIG1	2264	3323	2353	1552
LRIG1_g5	LRIG1	3201	4619	3158	2368
LRIG1_g6	LRIG1	1030	1667	1211	917
CTRL0001_g1	CTRL	1366	1955	1399	1040
CTRL0002_g2	CTRL	1280	1911	1461	937
CTRL0003_g3	CTRL	3946	6388	4644	3164
CTRL0004_g4	CTRL	710	1053	810	554
CTRL0005_g5	CTRL	1344	2085	1686	1141
CTRL0006_g6	CTRL	2905	4131	2884	2064
CTRL0007_g7	CTRL	1642	2343	1676	1299
CTRL0008_g8	CTRL	1555	2313	1617	1084
CTRL0009_g9	CTRL	1416	2205	1562	1204
CTRL0010_g10	CTRL	2476	3485	2567	1755
ROSA26_g1	ROSA26	4424	7465	5194	3586
ROSA26_g2	ROSA26	1866	3009	2059	1504
ROSA26_g3	ROSA26	2420	3636	2562	1930
ROSA26_g4	ROSA26	1734	2760	1965	1372
ROSA26_g5	ROSA26	1457	2273	1726	1154
ROSA26_g6	ROSA26	2245	3699	2594	1651
ROSA26_g7	ROSA26	2130	2872	2026	1331
ROSA26_g8	ROSA26	1245	2020	1457	970
ROSA26_g9	ROSA26	538	896	701	451
ROSA26_g10	ROSA26	1689	3007	2127	1632
CCR5_g1	CCR5	1120	1648	1195	908
CCR5_g2	CCR5	1862	2670	1966	1274
CCR5_g3	CCR5	1016	1459	1208	786
CCR5_g4	CCR5	880	1284	924	653
CCR5_g5	CCR5	1209	1765	1227	936
CCR5_g6	CCR5	1466	2084	1512	968
CCR5_g7	CCR5	2352	3710	2614	1905
CCR5_g8	CCR5	1369	2293	1614	1175
CCR5_g9	CCR5	941	1394	937	757
CCR5_g10	CCR5	1438	2078	1472	1065
AAVS1_g1	AAVS1	1887	2931	2020	1426
AAVS1_g2	AAVS1	1455	2340	1679	1169
AAVS1_g3	AAVS1	1321	1868	1310	980
AAVS1_g4	AAVS1	843	1199	775	495
AAVS1_g5	AAVS1	1344	2102	1412	1052
AAVS1_g6	AAVS1	657	881	700	466
AAVS1_g7	AAVS1	1092	1607	1121	796
AAVS1_g8	AAVS1	2242	3109	2085	1468
AAVS1_g9	AAVS1	676	897	639	440
AAVS1_g10	AAVS1	798	1277	832	638
EGFP_g1	EGFP	617	2782	2274	1483
EGFP_g2	EGFP	672	3332	2546	2035
EGFP_g3	EGFP	405	1814	1267	1187
EGFP_g4	EGFP	455	1775	1483	1114
EGFP_g5	EGFP	708	2889	2403	1768
EGFP_g6	EGFP	1702	3578	2815	2063
mKate2_g1	mKate2	2789	815	3411	3211
mKate2_g2	mKate2	3415	869	4271	4128
mKate2_g3	mKate2	3130	779	3951	3880
mKate2_g4	mKate2	2109	1247	2510	2115
mKate2_g5	mKate2	2282	743	3063	3045
mKate2_g6	mKate2	4565	1334	5795	5507
