Gene	sgRNA	S33_MNSC505_F1|beta	S33_MNSC505_F1|z	S33_MNSC505_F1|p-value	S33_MNSC505_F1|fdr	S33_MNSC505_F1|wald-p-value	S33_MNSC505_F1|wald-fdr	S35_MNSC505_F3|beta	S35_MNSC505_F3|z	S35_MNSC505_F3|p-value	S35_MNSC505_F3|fdr	S35_MNSC505_F3|wald-p-value	S35_MNSC505_F3|wald-fdr	S36_MNSC505_F4|beta	S36_MNSC505_F4|z	S36_MNSC505_F4|p-value	S36_MNSC505_F4|fdr	S36_MNSC505_F4|wald-p-value	S36_MNSC505_F4|wald-fdr
Vector	1	0.18254	0.62042	0.27273	0.6	0.53498	0.75579	0.14513	0.49329	0.27273	0.66667	0.62181	0.62181	0.23357	0.79388	0.27273	0.75	0.42727	0.58749
SOX9	6	-0.57992	-2.3282	0	0	0.019903	0.10946	-0.9799	-3.9325	0	0	8.408e-05	0.00092488	-1.0533	-4.2256	0	0	2.3829e-05	0.00026212
PROM1	6	0.016687	0.79405	1	1	0.42717	0.75579	0.039864	1.8969	0.90909	0.90909	0.057846	0.12726	0.024118	1.1476	0.90909	1	0.25114	0.39465
KRT20	6	1.1853	1.1199	0	0	0.26275	0.58534	1.1371	1.0744	0	0	0.28266	0.39944	1.402	1.3247	0	0	0.18529	0.34099
LRIG1	6	-0.013188	-0.40282	0.90909	1	0.68708	0.75579	-0.064353	-1.9654	0.81818	0.90909	0.049364	0.12726	-0.017652	-0.53908	1	1	0.58983	0.64881
CTRL	10	0.0066857	0.27151	0.54545	0.66667	0.786	0.786	0.013538	0.54976	0.63636	0.875	0.58248	0.62181	-9.7386e-05	-0.0039542	0.54545	0.75	0.99685	0.99685
ROSA26	10	-0.035661	-1.1296	0.54545	0.66667	0.25865	0.58534	-0.040174	-1.2724	0.54545	0.85714	0.20321	0.37256	-0.059717	-1.8911	0.54545	0.75	0.058616	0.21493
CCR5	10	-0.016262	-0.42744	0.54545	0.66667	0.66906	0.75579	-0.091536	-2.4058	0.36364	0.66667	0.016136	0.059164	-0.10242	-2.6917	0.36364	0.75	0.0071086	0.039097
AAVS1	10	-0.01203	-0.42181	0.54545	0.66667	0.67317	0.75579	-0.0947	-3.3199	0.36364	0.66667	0.00090063	0.0049535	-0.046583	-1.6328	0.54545	0.75	0.10251	0.2819
EGFP	6	-0.16228	-3.4879	0.090909	0.25	0.00048679	0.0053546	0.039914	0.85789	0.90909	0.90909	0.39095	0.47783	0.027729	0.59597	0.90909	1	0.55119	0.64881
mKate2	6	1.1902	1.1122	0	0	0.26606	0.58534	1.1312	1.057	0	0	0.2905	0.39944	1.4153	1.3225	0	0	0.18599	0.34099
