Gene	sgRNA	S45_MNSC506_F5|beta	S45_MNSC506_F5|z	S45_MNSC506_F5|p-value	S45_MNSC506_F5|fdr	S45_MNSC506_F5|wald-p-value	S45_MNSC506_F5|wald-fdr	S47_MNSC506_F7|beta	S47_MNSC506_F7|z	S47_MNSC506_F7|p-value	S47_MNSC506_F7|fdr	S47_MNSC506_F7|wald-p-value	S47_MNSC506_F7|wald-fdr	S48_MNSC506_F8|beta	S48_MNSC506_F8|z	S48_MNSC506_F8|p-value	S48_MNSC506_F8|fdr	S48_MNSC506_F8|wald-p-value	S48_MNSC506_F8|wald-fdr
Vector	1	-0.74427	-0.84293	0.27273	0.6	0.39927	0.4392	-1.1313	-1.2812	0	0	0.20012	0.30474	-1.1571	-1.3105	0	0	0.19004	0.2613
SOX9	6	0.5512	2.4399	0	0	0.014693	0.040404	0.3385	1.4986	0	0	0.13397	0.27617	0.32715	1.4482	0	0	0.14757	0.2613
PROM1	6	0.023122	0.92728	0.54545	0.85714	0.35378	0.43348	-0.038834	-1.5575	0.27273	0.33333	0.11934	0.27617	-0.017534	-0.70322	0.27273	0.3	0.48192	0.53011
KRT20	6	-0.92335	-5.0601	0	0	4.1905e-07	2.3048e-06	0.22244	1.2222	0	0	0.22163	0.30474	0.30823	1.6935	0	0	0.090355	0.22348
LRIG1	6	-0.051746	-1.9457	0.90909	1	0.05169	0.11372	-0.038216	-1.4373	0.27273	0.33333	0.15064	0.27617	-0.063702	-2.3956	0.18182	0.25	0.016593	0.18252
CTRL	10	-0.038915	-1.4247	1	1	0.15424	0.24238	-0.059592	-2.1824	0	0	0.02908	0.27617	-0.050941	-1.8654	0	0	0.062128	0.22348
ROSA26	10	-0.018765	-0.92558	0.90909	1	0.35467	0.43348	-0.012074	-0.59582	0.36364	0.4	0.5513	0.5513	-0.006388	-0.31518	0.27273	0.3	0.75263	0.75263
CCR5	10	0.097375	2.7578	0.36364	0.66667	0.0058192	0.021337	0.060547	1.7151	0.81818	0.81818	0.086331	0.27617	0.035461	1.0044	0.45455	0.45455	0.31519	0.38523
AAVS1	10	0.019105	0.69151	0.72727	1	0.48925	0.48925	-0.025539	-0.92486	0.27273	0.33333	0.35504	0.39054	-0.04861	-1.7599	0	0	0.078421	0.22348
EGFP	6	-1.3021	-6.3337	0	0	2.3934e-10	2.6328e-09	0.19906	0.96969	0	0	0.3322	0.39054	0.27087	1.3195	0	0	0.18701	0.2613
mKate2	6	0.75158	1.5113	0	0	0.13071	0.23963	0.77082	1.5501	0	0	0.12112	0.27617	0.81418	1.6372	0	0	0.10158	0.22348
