Gene	sgRNA	S66_MNSC509_F2|beta	S66_MNSC509_F2|z	S66_MNSC509_F2|p-value	S66_MNSC509_F2|fdr	S66_MNSC509_F2|wald-p-value	S66_MNSC509_F2|wald-fdr	S67_MNSC509_F3|beta	S67_MNSC509_F3|z	S67_MNSC509_F3|p-value	S67_MNSC509_F3|fdr	S67_MNSC509_F3|wald-p-value	S67_MNSC509_F3|wald-fdr	S68_MNSC509_F4|beta	S68_MNSC509_F4|z	S68_MNSC509_F4|p-value	S68_MNSC509_F4|fdr	S68_MNSC509_F4|wald-p-value	S68_MNSC509_F4|wald-fdr
Vector	1	0.09071	0.54208	0.36364	0.4	0.58777	0.71838	0.12088	0.72239	0.36364	0.36364	0.47005	0.47005	0.12501	0.74704	0.36364	0.36364	0.45504	0.50054
SOX9	6	0.094277	1.3429	0.90909	0.90909	0.1793	0.38663	-0.12765	-1.8181	0	0	0.069052	0.1266	-0.22686	-3.2307	0	0	0.0012349	0.0067921
PROM1	6	-0.019959	-1.2511	0.090909	0.125	0.21089	0.38663	-0.021763	-1.3642	0.18182	0.25	0.1725	0.18975	-0.0033292	-0.20868	0.18182	0.22222	0.83469	0.83469
KRT20	6	0.67783	1.4295	0	0	0.15286	0.38663	0.78039	1.6459	0	0	0.099793	0.15682	0.79186	1.67	0	0	0.094916	0.14915
LRIG1	6	-0.039762	-1.3433	0	0	0.17919	0.38663	-0.04127	-1.3942	0.18182	0.25	0.16324	0.18975	-0.06049	-2.0435	0.18182	0.22222	0.040999	0.090198
CTRL	10	-0.010535	-0.6856	0	0	0.49297	0.67783	0.029664	1.9305	0.27273	0.3	0.053541	0.11779	0.029482	1.9186	0.27273	0.3	0.055029	0.10089
ROSA26	10	-0.031966	-1.5563	0	0	0.11963	0.38663	-0.039762	-1.936	0.090909	0.16667	0.052871	0.11779	-0.027447	-1.3363	0.18182	0.22222	0.18145	0.22177
CCR5	10	0.0018611	0.063094	0.18182	0.22222	0.94969	0.94969	-0.076885	-2.6066	0	0	0.0091449	0.10059	-0.074193	-2.5153	0	0	0.011893	0.032707
AAVS1	10	-0.019417	-0.69448	0	0	0.48738	0.67783	-0.062402	-2.232	0	0	0.025615	0.11779	-0.094993	-3.3976	0	0	0.00067985	0.0067921
EGFP	6	0.8138	1.3165	0	0	0.18801	0.38663	0.95097	1.5384	0	0	0.12394	0.17042	0.9231	1.4933	0	0	0.13535	0.1861
mKate2	6	-0.024013	-0.16394	0.090909	0.125	0.86978	0.94969	0.28565	1.9503	0.27273	0.3	0.051146	0.11779	0.39828	2.7192	0.090909	0.16667	0.0065435	0.023993
