Gene	sgRNA	S70_MNSC509_F6|beta	S70_MNSC509_F6|z	S70_MNSC509_F6|p-value	S70_MNSC509_F6|fdr	S70_MNSC509_F6|wald-p-value	S70_MNSC509_F6|wald-fdr	S71_MNSC509_F7|beta	S71_MNSC509_F7|z	S71_MNSC509_F7|p-value	S71_MNSC509_F7|fdr	S71_MNSC509_F7|wald-p-value	S71_MNSC509_F7|wald-fdr	S72_MNSC509_F8|beta	S72_MNSC509_F8|z	S72_MNSC509_F8|p-value	S72_MNSC509_F8|fdr	S72_MNSC509_F8|wald-p-value	S72_MNSC509_F8|wald-fdr
Vector	1	0.0070634	0.018759	0.81818	0.9	0.98503	0.98503	0.2572	0.68308	0.36364	0.4	0.49455	0.66655	0.31086	0.8256	0.36364	0.4	0.40903	0.64276
SOX9	6	-0.31025	-0.50363	0	0	0.61452	0.98503	1.0342	1.6794	0	0	0.093066	0.20475	0.94271	1.5309	0.18182	0.28571	0.1258	0.34595
PROM1	6	0.0076046	0.37632	0.72727	0.88889	0.70668	0.98503	-0.027885	-1.3799	0.18182	0.25	0.16762	0.26341	-0.048853	-2.4175	0	0	0.015629	0.17192
KRT20	6	-0.034923	-1.3708	0.36364	0.57143	0.17044	0.84463	0.056092	2.2016	0.54545	0.54545	0.027691	0.10153	0.041821	1.6415	0.45455	0.45455	0.1007	0.34595
LRIG1	6	-0.035728	-1.1994	0.36364	0.57143	0.23035	0.84463	-0.067478	-2.2653	0	0	0.023495	0.10153	-0.061557	-2.0665	0	0	0.038782	0.2133
CTRL	10	0.00030522	0.02152	0.90909	0.90909	0.98283	0.98503	-0.0078712	-0.55496	0.18182	0.25	0.57893	0.66655	0.0095448	0.67294	0.36364	0.4	0.50098	0.68885
ROSA26	10	0.01445	0.84363	0.27273	0.57143	0.39888	0.98503	-0.041047	-2.3963	0.090909	0.25	0.016562	0.10153	-0.015942	-0.93069	0.090909	0.16667	0.35201	0.64276
CCR5	10	0.0048728	0.32569	0.63636	0.875	0.74466	0.98503	-0.027382	-1.8301	0.18182	0.25	0.067234	0.18489	-0.019371	-1.2947	0.090909	0.16667	0.19544	0.42996
AAVS1	10	0.049678	2.8648	0	0	0.0041723	0.045895	0.026464	1.526	0.36364	0.4	0.12702	0.23286	0.00075068	0.043284	0.090909	0.16667	0.96547	0.96547
EGFP	6	0.018506	0.59727	0.18182	0.5	0.55033	0.98503	-0.015984	-0.51586	0.18182	0.25	0.60596	0.66655	0.0040929	0.13209	0.27273	0.375	0.89491	0.96547
mKate2	6	0.2008	0.019133	0	0	0.98473	0.98503	3.264	0.31148	0	0	0.75543	0.75543	3.5005	0.33406	0	0	0.73834	0.90241
