sgRNA	Gene	S05_MNSC501_F5	S06_MNSC501_F6	S07_MNSC501_F7	S08_MNSC501_F8
SOX9_g1	SOX9	553	1309	973	1165
SOX9_g2	SOX9	157	1263	1151	1043
SOX9_g3	SOX9	254	374	337	377
SOX9_g4	SOX9	159	550	557	518
SOX9_g5	SOX9	410	1547	1219	1247
SOX9_g6	SOX9	593	1288	915	1264
PROM1_g1	PROM1	940	965	629	517
PROM1_g2	PROM1	2045	1770	1189	1191
PROM1_g3	PROM1	755	847	470	445
PROM1_g4	PROM1	1644	1443	929	804
PROM1_g5	PROM1	525	708	432	482
PROM1_g6	PROM1	2334	2000	1155	1238
KRT20_g1	KRT20	547	617	440	351
KRT20_g2	KRT20	1071	1183	742	710
KRT20_g3	KRT20	796	906	535	642
KRT20_g4	KRT20	546	445	301	226
KRT20_g5	KRT20	1584	1356	988	828
KRT20_g6	KRT20	564	556	398	384
LRIG1_g1	LRIG1	1151	1285	638	555
LRIG1_g2	LRIG1	687	662	434	281
LRIG1_g3	LRIG1	752	716	337	353
LRIG1_g4	LRIG1	1560	1303	820	687
LRIG1_g5	LRIG1	1925	1941	1081	1027
LRIG1_g6	LRIG1	594	637	303	308
CTRL0001_g1	CTRL	1183	962	642	482
CTRL0002_g2	CTRL	909	800	648	558
CTRL0003_g3	CTRL	2996	2838	1813	1763
CTRL0004_g4	CTRL	438	704	265	323
CTRL0005_g5	CTRL	990	1089	767	706
CTRL0006_g6	CTRL	2006	1798	1434	1112
CTRL0007_g7	CTRL	1282	1319	798	842
CTRL0008_g8	CTRL	1309	1206	960	700
CTRL0009_g9	CTRL	1374	893	729	759
CTRL0010_g10	CTRL	2012	1773	1362	900
ROSA26_g1	ROSA26	2400	2691	1475	1568
ROSA26_g2	ROSA26	919	1238	714	727
ROSA26_g3	ROSA26	1141	1249	591	817
ROSA26_g4	ROSA26	1001	976	591	502
ROSA26_g5	ROSA26	766	1081	438	442
ROSA26_g6	ROSA26	1289	1574	631	914
ROSA26_g7	ROSA26	1101	1054	820	579
ROSA26_g8	ROSA26	879	812	586	457
ROSA26_g9	ROSA26	500	456	237	290
ROSA26_g10	ROSA26	1015	1004	628	624
CCR5_g1	CCR5	581	673	382	365
CCR5_g2	CCR5	1138	1269	503	687
CCR5_g3	CCR5	923	650	471	432
CCR5_g4	CCR5	410	363	286	365
CCR5_g5	CCR5	722	778	506	528
CCR5_g6	CCR5	710	650	336	366
CCR5_g7	CCR5	1285	1722	950	849
CCR5_g8	CCR5	717	1002	577	568
CCR5_g9	CCR5	617	562	372	286
CCR5_g10	CCR5	877	627	631	501
AAVS1_g1	AAVS1	747	1010	504	643
AAVS1_g2	AAVS1	1186	1105	756	570
AAVS1_g3	AAVS1	759	812	436	519
AAVS1_g4	AAVS1	364	412	318	254
AAVS1_g5	AAVS1	692	899	419	442
AAVS1_g6	AAVS1	262	320	278	195
AAVS1_g7	AAVS1	612	552	369	306
AAVS1_g8	AAVS1	1227	1095	602	643
AAVS1_g9	AAVS1	379	284	250	150
AAVS1_g10	AAVS1	566	451	445	418
EGFP_g1	EGFP	139	3026	2565	2035
EGFP_g2	EGFP	243	4041	4467	3154
EGFP_g3	EGFP	167	2063	1809	1847
EGFP_g4	EGFP	177	1544	1811	1435
EGFP_g5	EGFP	166	3638	3574	2766
EGFP_g6	EGFP	585	2987	2871	2918
mKate2_g1	mKate2	649	806	440	498
mKate2_g2	mKate2	998	1006	769	604
mKate2_g3	mKate2	923	841	698	418
mKate2_g4	mKate2	723	697	476	457
mKate2_g5	mKate2	436	543	395	348
mKate2_g6	mKate2	1765	1481	1148	831
