sgRNA	Gene	S25_MNSC504_F1	S26_MNSC504_F2	S27_MNSC504_F3	S28_MNSC504_F4
SOX9_g1	SOX9	2293	1884	1502	2156
SOX9_g2	SOX9	1889	1272	1178	1803
SOX9_g3	SOX9	1589	1126	927	1201
SOX9_g4	SOX9	1258	891	962	1324
SOX9_g5	SOX9	2537	1426	1709	2487
SOX9_g6	SOX9	2777	2512	2235	2416
PROM1_g1	PROM1	1351	1989	1445	1309
PROM1_g2	PROM1	1799	2932	1949	1920
PROM1_g3	PROM1	1292	1957	1370	1189
PROM1_g4	PROM1	2221	3241	2180	2106
PROM1_g5	PROM1	1233	1830	1198	1205
PROM1_g6	PROM1	3061	4471	3048	2969
KRT20_g1	KRT20	672	1775	1349	1282
KRT20_g2	KRT20	901	2508	1953	2083
KRT20_g3	KRT20	860	1952	1474	1675
KRT20_g4	KRT20	337	822	671	716
KRT20_g5	KRT20	1023	2864	2183	2262
KRT20_g6	KRT20	522	1438	1080	1177
LRIG1_g1	LRIG1	1583	2306	1609	1447
LRIG1_g2	LRIG1	923	1386	832	869
LRIG1_g3	LRIG1	1026	1580	1026	921
LRIG1_g4	LRIG1	1809	2606	1863	1810
LRIG1_g5	LRIG1	2606	3997	2717	2632
LRIG1_g6	LRIG1	975	1416	934	850
CTRL0001_g1	CTRL	1178	1680	1190	1062
CTRL0002_g2	CTRL	1131	1686	1100	1144
CTRL0003_g3	CTRL	3489	5350	3721	3568
CTRL0004_g4	CTRL	634	944	633	593
CTRL0005_g5	CTRL	1289	1706	1256	1197
CTRL0006_g6	CTRL	2363	3426	2375	2197
CTRL0007_g7	CTRL	1383	2084	1482	1376
CTRL0008_g8	CTRL	1368	1923	1357	1394
CTRL0009_g9	CTRL	1147	1781	1237	1219
CTRL0010_g10	CTRL	1995	2940	2092	2044
ROSA26_g1	ROSA26	3938	6030	4054	3991
ROSA26_g2	ROSA26	1749	2607	1606	1735
ROSA26_g3	ROSA26	2063	3023	2102	1945
ROSA26_g4	ROSA26	1626	2429	1565	1539
ROSA26_g5	ROSA26	1350	1884	1334	1290
ROSA26_g6	ROSA26	1966	3003	1808	1877
ROSA26_g7	ROSA26	1846	2471	1472	1439
ROSA26_g8	ROSA26	1160	1680	1176	1130
ROSA26_g9	ROSA26	538	748	488	484
ROSA26_g10	ROSA26	1486	1978	1472	1468
CCR5_g1	CCR5	1065	1460	962	963
CCR5_g2	CCR5	1520	2312	1573	1522
CCR5_g3	CCR5	837	1256	818	879
CCR5_g4	CCR5	709	1056	706	724
CCR5_g5	CCR5	991	1641	1163	1086
CCR5_g6	CCR5	1355	1866	1157	1095
CCR5_g7	CCR5	2317	3208	2201	2110
CCR5_g8	CCR5	1503	1995	1379	1321
CCR5_g9	CCR5	856	1189	812	695
CCR5_g10	CCR5	1318	1814	1201	1134
AAVS1_g1	AAVS1	1677	2395	1640	1432
AAVS1_g2	AAVS1	1261	1943	1470	1266
AAVS1_g3	AAVS1	1222	1607	1075	1043
AAVS1_g4	AAVS1	634	976	634	599
AAVS1_g5	AAVS1	1384	1816	1184	1188
AAVS1_g6	AAVS1	519	769	539	546
AAVS1_g7	AAVS1	955	1300	885	873
AAVS1_g8	AAVS1	1863	2537	1564	1528
AAVS1_g9	AAVS1	536	734	474	497
AAVS1_g10	AAVS1	685	1100	681	736
EGFP_g1	EGFP	610	2209	1774	1547
EGFP_g2	EGFP	780	2749	2251	2176
EGFP_g3	EGFP	429	1587	1263	1241
EGFP_g4	EGFP	560	1414	1125	1122
EGFP_g5	EGFP	687	2365	1936	1855
EGFP_g6	EGFP	1386	2807	2235	2241
mKate2_g1	mKate2	2211	662	2427	3328
mKate2_g2	mKate2	2664	713	3072	4399
mKate2_g3	mKate2	2546	770	2770	3745
mKate2_g4	mKate2	1764	1104	1803	2293
mKate2_g5	mKate2	2020	798	2263	3220
mKate2_g6	mKate2	3739	1188	4151	5631
