sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
mKate2_g2	mKate2	655.45	4822.4	655.45	4822.4	2.8773	8.6817e+06	3.7711e+06	2.1458	0.97477	0.025225	0.05045	0.41049	True
mKate2_g1	mKate2	608.57	3648.3	608.57	3648.3	2.5818	4.62e+06	3.1712e+06	1.707	0.93071	0.069294	0.13859	0.41049	True
mKate2_g3	mKate2	707.85	4105.5	707.85	4105.5	2.5343	5.7718e+06	4.5129e+06	1.5994	0.91297	0.087025	0.17405	0.41049	True
mKate2_g6	mKate2	1092.1	6173	1092.1	6173	2.4978	1.2908e+07	1.2421e+07	1.4417	0.87984	0.12016	0.24031	0.41049	True
mKate2_g5	mKate2	733.59	3529.9	733.59	3529.9	2.265	3.9097e+06	4.9053e+06	1.2626	0.83585	0.16415	0.32829	0.41049	True
ROSA26_g7	ROSA26	2271.6	1577.5	2271.6	1577.5	-0.52576	2.4086e+05	6.8669e+07	1.1614	0.12275	0.87725	0.24549	0.41049	False
ROSA26_g1	ROSA26	5543.3	4375.1	5543.3	4375.1	-0.34135	6.8232e+05	5.5132e+08	1.156	0.12384	0.87616	0.24768	0.41049	False
AAVS1_g8	AAVS1	2332.2	1675.1	2332.2	1675.1	-0.47725	2.1593e+05	7.3028e+07	1.1428	0.12656	0.87344	0.25313	0.41049	False
AAVS1_g1	AAVS1	2201.7	1569.8	2201.7	1569.8	-0.48774	1.9963e+05	6.3838e+07	1.1426	0.12659	0.87341	0.25319	0.41049	False
CTRL0003_g3	CTRL	4918.2	3911.4	4918.2	3911.4	-0.33036	5.0679e+05	4.1694e+08	1.1413	0.12687	0.87313	0.25373	0.41049	False
CCR5_g6	CCR5	1715.4	1200.4	1715.4	1200.4	-0.51467	1.3261e+05	3.5645e+07	1.1342	0.12836	0.87164	0.25673	0.41049	False
ROSA26_g6	ROSA26	2760.6	2057.7	2760.6	2057.7	-0.42381	2.4708e+05	1.0826e+08	1.1336	0.12849	0.87151	0.25697	0.41049	False
PROM1_g6	PROM1	4110.1	3254.8	4110.1	3254.8	-0.33654	3.6583e+05	2.742e+08	1.129	0.12946	0.87054	0.25891	0.41049	False
CTRL0006_g6	CTRL	3149.5	2408.5	3149.5	2408.5	-0.38686	2.7456e+05	1.4727e+08	1.1285	0.12955	0.87045	0.2591	0.41049	False
LRIG1_g3	LRIG1	1452.5	1009.6	1452.5	1009.6	-0.52423	98049	2.4171e+07	1.125	0.1303	0.8697	0.26059	0.41049	False
LRIG1_g5	LRIG1	3674.4	2885.3	3674.4	2885.3	-0.34866	3.1131e+05	2.1107e+08	1.1248	0.13033	0.86967	0.26066	0.41049	False
PROM1_g3	PROM1	1799	1303.4	1799	1303.4	-0.4646	1.2281e+05	3.9836e+07	1.1163	0.13215	0.86785	0.26429	0.41049	False
ROSA26_g3	ROSA26	2779	2132.2	2779	2132.2	-0.38207	2.0918e+05	1.0995e+08	1.1161	0.13219	0.86781	0.26439	0.41049	False
PROM1_g4	PROM1	2979.4	2308.7	2979.4	2308.7	-0.36781	2.2493e+05	1.2937e+08	1.1157	0.13228	0.86772	0.26456	0.41049	False
LRIG1_g1	LRIG1	2119.9	1586.3	2119.9	1586.3	-0.41811	1.4237e+05	5.8436e+07	1.1094	0.13362	0.86638	0.26724	0.41049	False
ROSA26_g4	ROSA26	2232.9	1687.1	2232.9	1687.1	-0.40417	1.4896e+05	6.5975e+07	1.1076	0.13401	0.86599	0.26802	0.41049	False
CCR5_g7	CCR5	2949.1	2313.1	2949.1	2313.1	-0.35031	2.0224e+05	1.2631e+08	1.1072	0.1341	0.8659	0.2682	0.41049	False
PROM1_g2	PROM1	2695.4	2104.8	2695.4	2104.8	-0.35664	1.7438e+05	1.0238e+08	1.1025	0.13513	0.86487	0.27026	0.41049	False
CCR5_g9	CCR5	1093	761.89	1093	761.89	-0.5201	54827	1.2445e+07	1.1005	0.13555	0.86445	0.2711	0.41049	False
LRIG1_g6	LRIG1	1301.7	931.81	1301.7	931.81	-0.48186	68413	1.8714e+07	1.0977	0.13617	0.86383	0.27233	0.41049	False
CCR5_g10	CCR5	1667.6	1243.1	1667.6	1243.1	-0.42347	90075	3.3369e+07	1.0921	0.13739	0.86261	0.27478	0.41049	False
ROSA26_g2	ROSA26	2396.6	1902	2396.6	1902	-0.33331	1.2231e+05	7.782e+07	1.0824	0.13954	0.86046	0.27908	0.41049	False
CCR5_g2	CCR5	2125.4	1668.5	2125.4	1668.5	-0.349	1.0438e+05	5.8792e+07	1.0793	0.14023	0.85977	0.28046	0.41049	False
CTRL0001_g1	CTRL	1544.4	1164.2	1544.4	1164.2	-0.40739	72271	2.7895e+07	1.0787	0.14036	0.85964	0.28072	0.41049	False
AAVS1_g2	AAVS1	1786.2	1387.9	1786.2	1387.9	-0.36379	79331	3.9174e+07	1.0714	0.142	0.858	0.28401	0.41049	False
CTRL0007_g7	CTRL	1915.8	1508.4	1915.8	1508.4	-0.34468	82970	4.6136e+07	1.0687	0.1426	0.8574	0.2852	0.41049	False
LRIG1_g2	LRIG1	1274.1	952.64	1274.1	952.64	-0.41913	51679	1.7801e+07	1.0682	0.14272	0.85728	0.28545	0.41049	False
PROM1_g1	PROM1	1828.5	1435	1828.5	1435	-0.34937	77410	4.1374e+07	1.0669	0.14301	0.85699	0.28602	0.41049	False
CTRL0010_g10	CTRL	2702.7	2240.7	2702.7	2240.7	-0.27032	1.0671e+05	1.0303e+08	1.0646	0.14353	0.85647	0.28705	0.41049	False
CCR5_g8	CCR5	1834	1448.1	1834	1448.1	-0.34056	74434	4.1666e+07	1.0632	0.14384	0.85616	0.28769	0.41049	False
AAVS1_g5	AAVS1	1669.4	1302.3	1669.4	1302.3	-0.358	67375	3.3455e+07	1.0632	0.14386	0.85614	0.28771	0.41049	False
PROM1_g5	PROM1	1682.3	1321	1682.3	1321	-0.34859	65275	3.406e+07	1.0596	0.14467	0.85533	0.28933	0.41049	False
AAVS1_g3	AAVS1	1477.3	1143.4	1477.3	1143.4	-0.36936	55747	2.5146e+07	1.0581	0.14501	0.85499	0.29002	0.41049	False
LRIG1_g4	LRIG1	2395.7	1984.2	2395.7	1984.2	-0.27174	84647	7.775e+07	1.055	0.14572	0.85428	0.29144	0.41049	False
AAVS1_g4	AAVS1	897.22	656.65	897.22	656.65	-0.44975	28937	7.8494e+06	1.0534	0.14609	0.85391	0.29218	0.41049	False
