id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	1.0509	1.4365e-07	4.999e-06	5e-05	1	6	1.0509
SOX9	6	0.99961	0.99965	0.999995	9	0	0.25818	0.00038516	0.0019546	0.009773	2	6	0.25818
KRT20	6	0.99933	0.99932	0.999995	8	0	0.28999	0.00067331	0.0033743	0.011248	3	6	0.28999
EGFP	6	0.99888	0.99884	0.999995	7	0	0.22246	0.0083083	0.031949	0.079872	4	5	0.22246
PROM1	6	0.055226	0.17587	0.39757	5	5	-0.1928	0.95395	0.95404	0.997555	5	0	-0.1928
CCR5	10	0.74226	0.92073	0.999995	6	4	-0.12004	0.97526	0.97604	0.997555	6	0	-0.12004
ROSA26	10	0.015777	0.080579	0.268596	3	6	-0.18314	0.98626	0.98676	0.997555	7	0	-0.18314
AAVS1	10	0.050212	0.19879	0.39757	4	8	-0.26603	0.9888	0.98939	0.997555	8	0	-0.26603
CTRL	10	0.0077176	0.044656	0.22328	2	9	-0.18684	0.99701	0.99704	0.997555	9	0	-0.18684
LRIG1	6	0.0022445	0.011113	0.111128	1	6	-0.25595	0.99776	0.99756	0.997555	10	0	-0.25595
