sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
mKate2_g6	mKate2	958.51	2053.1	958.51	2053.1	1.0981	5.9909e+05	11563	10.179	1	1.2256e-24	2.4512e-24	1.8629e-22	True
mKate2_g1	mKate2	533.42	1264.6	533.42	1264.6	1.2438	2.6732e+05	5378.7	9.97	1	1.0315e-23	2.063e-23	7.8395e-22	True
mKate2_g2	mKate2	750.08	1596.7	750.08	1596.7	1.089	3.5838e+05	8391.4	9.2421	1	1.2088e-20	2.4176e-20	6.1245e-19	True
mKate2_g3	mKate2	700.72	1414.9	700.72	1414.9	1.0128	2.5504e+05	7677.5	8.151	1	1.8046e-16	3.6091e-16	6.8573e-15	True
mKate2_g5	mKate2	575.93	1075.7	575.93	1075.7	0.90021	1.2491e+05	5944	6.4829	1	4.4988e-11	8.9976e-11	1.3676e-09	True
mKate2_g4	mKate2	629.41	1015.9	629.41	1015.9	0.68987	74702	6673.9	4.7314	1	1.1148e-06	2.2296e-06	2.8241e-05	True
SOX9_g5	SOX9	1017.5	1424.4	1017.5	1424.4	0.48491	82777	12503	3.6388	0.99986	0.00013693	0.00027387	0.0029734	True
EGFP_g3	EGFP	878.98	1181.2	878.98	1181.2	0.42593	45667	10324	2.9743	0.99853	0.0014682	0.0029365	0.027896	True
ROSA26_g1	ROSA26	3474.8	2767.7	3474.8	2767.7	-0.32815	2.5001e+05	62775	2.8223	0.0023843	0.99762	0.0047687	0.035696	False
KRT20_g2	KRT20	965.37	1270.1	965.37	1270.1	0.39545	46437	11672	2.8209	0.99761	0.0023948	0.0047896	0.035696	True
SOX9_g4	SOX9	464.86	652.37	464.86	652.37	0.48802	17581	4496.3	2.7965	0.99742	0.0025833	0.0051666	0.035696	True
ROSA26_g2	ROSA26	1509.8	1160.7	1509.8	1160.7	-0.37899	60909	20973	2.4101	0.0079747	0.99203	0.015949	0.10101	False
CTRL0004_g4	CTRL	512.85	343.11	512.85	343.11	-0.5785	14407	5110	2.3746	0.0087839	0.99122	0.017568	0.1027	False
AAVS1_g5	AAVS1	981.82	730.28	981.82	730.28	-0.42651	31637	11933	2.3028	0.010646	0.98935	0.021293	0.11559	False
SOX9_g1	SOX9	1014.7	1240.2	1014.7	1240.2	0.28923	25421	12459	2.0201	0.97831	0.021687	0.043373	0.21976	True
CTRL0002_g2	CTRL	824.13	630.34	824.13	630.34	-0.38621	18777	9490.1	1.9893	0.023335	0.97667	0.046669	0.22168	False
KRT20_g1	KRT20	789.85	961.64	789.85	961.64	0.2836	14756	8977.4	1.8131	0.96509	0.034906	0.069813	0.24979	True
KRT20_g6	KRT20	673.29	827.07	673.29	827.07	0.29639	11825	7287.5	1.8014	0.96418	0.035817	0.071635	0.24979	True
EGFP_g1	EGFP	1280.8	1508.6	1280.8	1508.6	0.236	25947	16902	1.7522	0.96013	0.039869	0.079738	0.24979	True
CTRL0008_g8	CTRL	1073.7	871.14	1073.7	871.14	-0.3013	20515	13415	1.7488	0.04016	0.95984	0.080319	0.24979	False
AAVS1_g1	AAVS1	1290.4	1062.4	1290.4	1062.4	-0.28025	25990	17069	1.7451	0.040485	0.95952	0.080969	0.24979	False
AAVS1_g9	AAVS1	360.64	262.05	360.64	262.05	-0.45922	4860.1	3232.2	1.7342	0.041444	0.95856	0.082888	0.24979	False
KRT20_g4	KRT20	411.38	518.59	411.38	518.59	0.33341	5747.4	3835.2	1.7312	0.95829	0.041705	0.08341	0.24979	True
CTRL0009_g9	CTRL	954.4	772.77	954.4	772.77	-0.30419	16494	11498	1.6938	0.045153	0.95485	0.090306	0.24979	False
ROSA26_g3	ROSA26	1612.6	1356.7	1612.6	1356.7	-0.24914	32748	22868	1.6924	0.045287	0.95471	0.090573	0.24979	False
EGFP_g4	EGFP	799.45	960.85	799.45	960.85	0.26501	13026	9120.3	1.6901	0.9545	0.045503	0.091006	0.24979	True
PROM1_g2	PROM1	1496	1254.4	1496	1254.4	-0.254	29201	20723	1.6788	0.046599	0.9534	0.093198	0.24979	False
EGFP_g6	EGFP	1640	1895.7	1640	1895.7	0.20892	32693	23379	1.6723	0.95277	0.047229	0.094458	0.24979	True
LRIG1_g3	LRIG1	745.97	594.14	745.97	594.14	-0.32782	11526	8331.4	1.6634	0.048117	0.95188	0.096235	0.24979	False
LRIG1_g4	LRIG1	1316.4	1097.8	1316.4	1097.8	-0.2618	23900	17522	1.6517	0.049301	0.9507	0.098602	0.24979	False
PROM1_g3	PROM1	1013.4	835.73	1013.4	835.73	-0.27774	15777	12437	1.5928	0.055598	0.9444	0.1112	0.27261	False
KRT20_g3	KRT20	811.79	963.21	811.79	963.21	0.24647	11465	9304.8	1.5698	0.94177	0.058229	0.11646	0.27659	True
LRIG1_g6	LRIG1	725.4	587.06	725.4	587.06	-0.30481	9569.2	8032.6	1.5436	0.061347	0.93865	0.12269	0.28257	False
CTRL0003_g3	CTRL	2804.2	2480.4	2804.2	2480.4	-0.17695	52423	47330	1.4884	0.068327	0.93167	0.13665	0.30313	False
LRIG1_g5	LRIG1	1822.4	1581	1822.4	1581	-0.20492	29149	26852	1.4735	0.070315	0.92969	0.14063	0.30313	False
AAVS1_g3	AAVS1	799.45	660.24	799.45	660.24	-0.27563	9688.9	9120.3	1.4576	0.072471	0.92753	0.14494	0.30313	False
ROSA26_g5	ROSA26	921.49	770.41	921.49	770.41	-0.25803	11412	10982	1.4416	0.074707	0.92529	0.14941	0.30313	False
