id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	2.8424	1.4365e-07	4.999e-06	5e-05	1	6	2.8424
SOX9	6	0.99999	1.0	0.999995	9	0	1.0951	1.2003e-05	3.4993e-05	0.000175	2	6	1.0951
PROM1	6	0.54214	0.76147	0.951841	8	2	-0.18538	0.65978	0.65838	0.971171	3	0	-0.18538
KRT20	6	0.19981	0.43387	0.6768	7	4	-0.25444	0.69069	0.68962	0.971171	4	0	-0.25444
mKate2	6	0.048988	0.15963	0.589895	2	4	-0.28312	0.792	0.79028	0.971171	5	0	-0.28312
LRIG1	6	0.073347	0.21925	0.589895	4	3	-0.25227	0.81245	0.8112	0.971171	6	0	-0.25227
AAVS1	10	0.029036	0.12928	0.589895	1	8	-0.31957	0.8796	0.88022	0.971171	7	0	-0.31957
ROSA26	10	0.18073	0.47376	0.6768	6	6	-0.25141	0.89781	0.8985	0.971171	8	0	-0.25141
CCR5	10	0.063876	0.23596	0.589895	3	4	-0.22438	0.96404	0.96469	0.971171	9	0	-0.22438
CTRL	10	0.14141	0.40422	0.6768	5	7	-0.26173	0.97012	0.97117	0.971171	10	0	-0.26173
