,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC501_SS8614_S1_R1_001_F1,0,325644,2584,1842,978,1021,1632,3010,4279,7359,3601,6507,3110,2526,2740,4486,3663,1929,6626,2451,4912,3096,3222,6485,8711,2629,4325,4005,14319,2387,4944,7337,5320,5022,4880,7395,7128,6443,5522,4703,3589,6375,5098,3913,1528,4371,2952,5402,2782,1876,3893,3151,2681,3981,2679,3713,4600,4968,3043,1839,3749,1346,2905,5107,1528,2504,994,1542,988,856,1239,3154,0,4184,4066,1693,0,0
20210204_MNSC501_SS8614_S1_R1_001_F2,452,300673,1103,807,448,517,1038,1419,1098,1674,1147,1999,1015,739,940,1352,940,490,1699,837,1192,769,874,1479,2381,830,989,982,3035,523,1067,2206,1312,1177,1039,1680,2057,1520,1779,1203,1053,1547,1380,1015,421,1009,734,1455,731,519,818,997,624,953,677,934,1457,1209,996,572,977,416,720,1818,497,619,1513,2116,1186,962,1878,2059,0,710,688,267,0,0
20210204_MNSC501_SS8614_S1_R1_001_F3,0,227475,3824,3933,992,1965,4347,2781,1853,3668,1507,2906,1334,1031,1305,2228,1651,839,3301,1216,2301,1096,1631,2743,3841,1007,2102,2189,6358,1164,2333,3441,2604,2415,2305,3883,2838,2685,2306,2076,1647,2792,2183,1819,682,1799,1257,2546,1433,861,1794,1161,1307,1822,1141,1835,1854,2161,1308,894,1625,622,1231,2301,629,1057,9716,14894,8163,5848,12674,10361,0,2226,1931,846,0,0
20210204_MNSC501_SS8614_S1_R1_001_F4,0,200291,3751,3688,1186,2019,4570,3491,1685,3155,1383,2481,1240,945,1223,2032,1641,865,2933,1246,2004,967,1474,2365,3316,940,1768,1823,5591,1002,1937,2922,2237,2198,2119,3133,2552,2647,2022,1781,1486,2522,2124,1730,609,1699,1163,2286,1278,695,1630,1143,1115,1689,990,1513,1923,2086,1199,841,1579,577,1182,2221,571,986,7871,11792,6660,5266,9960,10117,0,1948,1612,722,0,0
20210204_MNSC501_SS8614_S1_R1_001_F5,0,110474,549,163,250,148,413,567,922,2018,747,1609,484,697,538,1067,781,545,1572,559,1120,680,739,1542,1893,580,1170,888,2937,422,985,1949,1269,1297,1351,1865,1415,903,1123,987,750,1265,1087,867,485,983,571,1105,921,391,709,681,559,708,583,869,732,1121,744,355,688,256,600,1193,368,561,150,263,182,179,192,577,0,988,903,453,0,0
20210204_MNSC501_SS8614_S1_R1_001_F6,0,161037,1280,1243,367,544,1531,1243,926,1744,836,1409,675,549,606,1166,884,426,1291,547,1262,651,708,1259,1878,611,947,788,2781,699,1070,1783,1278,1169,879,1652,1391,1208,1230,949,1040,1526,1019,796,431,971,615,1256,635,346,759,618,703,993,543,615,960,1075,804,408,887,300,545,1029,281,442,2959,3972,2013,1506,3550,2940,0,991,820,344,0,0
20210204_MNSC501_SS8614_S1_R1_001_F7,0,109133,963,1136,334,538,1195,881,595,1177,446,900,422,221,427,694,529,282,961,392,617,420,330,785,1053,272,611,621,1767,258,752,1393,779,949,699,1299,745,704,569,574,430,624,801,577,233,604,376,491,452,280,495,333,358,569,358,615,475,738,431,315,408,265,359,594,250,427,2484,4389,1765,1774,3488,2805,0,755,673,178,0,0
20210204_MNSC501_SS8614_S1_R1_001_F8,0,124546,1147,1035,369,510,1207,1230,504,1178,441,782,475,431,343,702,625,213,797,381,533,278,344,636,1005,304,470,553,1708,322,696,1041,830,687,739,804,822,715,787,485,433,905,558,449,286,607,356,661,429,354,514,352,266,563,280,479,630,547,516,248,433,192,304,629,150,411,1979,3105,1785,1402,2698,2870,0,584,409,255,0,0
20210204_MNSC501_SS8614_S1_R1_001_unknown,3,7884,654,578,236,292,649,603,496,882,390,747,370,289,348,597,451,242,789,280,633,321,407,719,1101,298,530,514,1707,275,583,886,655,582,601,865,781,808,666,542,423,719,604,407,194,569,324,708,355,254,417,355,299,514,294,429,509,554,364,231,422,157,360,647,183,277,1032,1617,913,709,1300,1275,4,482,450,191,12,2
20210204_MNSC502_SS8614_S2_R1_001_F1,0,146368,844,600,452,445,902,2037,1695,2853,1645,2903,1534,1151,1449,1983,1453,774,2664,1248,2065,1113,1200,2175,3388,1164,1460,1506,4372,763,1883,3306,1863,1772,1826,2560,2878,1978,2656,1840,1626,2338,1779,1468,669,1589,1194,1843,1217,853,1212,1217,1066,1624,993,1692,1742,1631,1278,829,1256,706,974,2016,596,936,1808,2489,1508,1369,1999,2506,0,1253,1170,510,0,0
