,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC501_SS8614_S1_R1_001_F1,0,325644,2675,1923,1005,1079,1672,3132,4429,7495,3740,6808,3162,9367,2821,4609,3756,2007,6814,2512,5032,3142,3307,6636,8898,2707,4463,4069,14768,2438,5048,7472,5405,5120,4997,8110,13947,6585,5675,4844,3719,6511,5252,3993,1578,4524,3030,5516,2827,1947,3996,3267,6790,4058,2759,3813,4738,5125,3113,1914,3831,1403,2989,5274,1564,2603,1027,1591,1040,897,1290,3272,3324,4296,4179,3144,2421,6561
20210204_MNSC501_SS8614_S1_R1_001_F2,452,300680,1134,832,455,532,1066,1465,1144,1707,1192,2050,1046,2815,961,1377,968,496,1741,858,1223,786,890,1511,2439,847,1022,1008,3132,534,1104,2262,1333,1202,1075,1829,3693,1560,1818,1244,1103,1580,1416,1035,427,1043,744,1485,741,538,852,1020,1619,974,693,976,1502,1244,1027,588,1009,434,743,1871,509,637,1563,2168,1234,1004,1935,2099,665,732,706,719,541,1006
20210204_MNSC501_SS8614_S1_R1_001_F3,0,227477,3935,4037,1020,2000,4454,2909,1931,3753,1553,2986,1380,4097,1349,2274,1709,859,3379,1247,2357,1120,1674,2817,3947,1036,2174,2235,6570,1199,2383,3528,2657,2457,2364,4168,5662,2747,2370,2143,1717,2844,2237,1886,712,1880,1294,2638,1461,898,1834,1222,3220,1854,1179,1878,1938,2240,1340,925,1676,654,1259,2385,654,1098,10068,15255,8384,6033,13066,10593,1750,2299,1979,1534,1074,3127
20210204_MNSC501_SS8614_S1_R1_001_F4,0,200292,3833,3768,1216,2072,4644,3607,1746,3219,1427,2568,1273,3547,1267,2072,1708,889,3017,1283,2073,999,1528,2425,3391,967,1834,1853,5787,1022,1985,2981,2263,2250,2166,3359,5362,2715,2073,1831,1548,2594,2166,1787,634,1746,1200,2337,1298,715,1660,1189,2866,1725,1007,1547,1983,2140,1221,860,1618,596,1205,2288,585,1025,8114,12000,6793,5396,10223,10318,1484,1993,1656,1345,1124,2716
20210204_MNSC501_SS8614_S1_R1_001_F5,0,110475,562,168,258,161,420,597,943,2054,757,1649,528,2345,554,1077,800,553,1595,569,1152,688,757,1567,1932,597,1190,916,3008,443,997,2017,1287,1317,1381,2022,2412,928,1147,1005,767,1293,1107,884,501,1020,584,1140,929,413,730,714,1287,719,621,880,750,1189,763,365,697,264,614,1230,381,568,164,280,190,185,193,610,649,1005,928,725,437,1777
20210204_MNSC501_SS8614_S1_R1_001_F6,0,161047,1309,1266,374,550,1547,1288,965,1770,847,1444,708,2002,617,1184,906,445,1357,556,1286,662,716,1303,1941,637,962,800,2840,704,1089,1799,1319,1206,894,1773,2691,1238,1250,976,1081,1574,1054,812,456,1004,673,1269,650,363,778,651,1723,1003,562,627,1010,1105,812,412,900,320,552,1095,284,451,3027,4042,2064,1544,3640,2988,806,1006,841,697,543,1483
20210204_MNSC501_SS8614_S1_R1_001_F7,0,109157,973,1151,337,557,1219,915,629,1189,470,930,432,1155,441,743,535,302,990,399,639,434,338,820,1082,303,642,648,1813,265,767,1435,798,960,729,1362,1476,715,591,592,439,631,820,586,237,628,382,503,471,286,506,336,950,577,373,631,505,756,436,319,419,278,369,602,250,446,2568,4469,1809,1811,3576,2872,441,770,698,476,395,1148
20210204_MNSC501_SS8614_S1_R1_001_F8,0,124546,1167,1043,377,518,1247,1265,517,1192,445,804,482,1238,351,710,643,226,829,384,555,282,353,687,1027,308,482,559,1763,323,707,1112,842,700,760,900,1570,727,819,502,442,915,580,457,290,624,365,687,432,365,528,366,850,569,287,502,643,571,520,254,442,195,306,644,150,418,2035,3158,1847,1435,2767,2922,498,604,418,457,348,831
20210204_MNSC501_SS8614_S1_R1_001_unknown,19,46338,687,608,249,312,680,652,531,919,415,793,402,1095,366,627,479,256,844,295,671,331,425,763,1153,319,557,537,1797,293,597,922,685,615,635,993,1671,840,699,581,466,759,636,425,213,589,339,743,360,266,445,380,856,540,312,444,546,591,381,247,444,189,381,680,199,288,1097,1711,982,755,1389,1336,430,547,542,399,294,848
20210204_MNSC502_SS8614_S2_R1_001_F1,1,146370,871,637,475,463,938,2134,1774,2937,1716,3021,1568,4200,1498,2033,1499,812,2764,1276,2116,1152,1233,2262,3500,1204,1529,1555,4567,791,1927,3402,1911,1827,1877,2844,5033,2032,2757,1905,1703,2411,1856,1500,691,1664,1243,1898,1250,882,1259,1259,2772,1674,1043,1755,1832,1687,1324,870,1306,728,1012,2094,614,976,1888,2570,1553,1418,2085,2588,1074,1298,1207,1259,963,1835
20210204_MNSC502_SS8614_S2_R1_001_F2,254,152966,927,652,517,507,968,2188,1909,2967,1915,3059,1703,4270,1604,2294,1741,848,2915,1271,2260,1165,1481,2412,3797,1318,1808,1676,5159,882,1914,3443,2135,1978,1905,3083,5539,2351,3008,2069,1804,2355,1892,1637,716,1701,1338,2071,1379,954,1404,1409,2926,1709,1092,1736,2013,1852,1422,900,1395,759,1091,2054,702,1068,2186,2924,1688,1369,2327,2809,1208,1444,1418,1422,1046,2071
20210204_MNSC502_SS8614_S2_R1_001_F3,0,79584,170,133,109,109,180,483,374,669,373,688,392,968,361,470,356,163,580,311,459,230,301,571,882,277,412,346,1071,179,489,834,462,399,457,707,1037,430,693,442,322,558,484,334,197,358,263,452,275,223,247,359,538,337,257,478,421,384,331,201,334,207,261,442,126,219,411,651,338,324,434,615,237,246,297,342,224,395
20210204_MNSC502_SS8614_S2_R1_001_F4,0,102459,336,254,214,175,388,928,771,1282,728,1253,641,1774,724,985,585,339,1261,505,983,478,537,1020,1631,541,702,675,1915,434,833,1551,932,865,804,1282,2199,928,1292,828,716,1015,797,724,320,773,511,860,511,380,483,646,1103,640,464,807,787,701,609,386,547,271,404,932,309,404,902,1155,697,614,812,1157,494,544,585,477,500,854
20210204_MNSC502_SS8614_S2_R1_001_F5,0,131334,1643,1274,776,720,1412,1847,1663,2374,1693,2605,1442,3719,1497,2082,1799,857,2602,1327,2025,1365,1241,2580,3493,1176,1429,1442,4497,800,1494,3085,1575,1633,1424,2522,5195,2260,2359,1919,1468,2559,2503,1376,666,1913,1122,2047,963,935,1283,1658,2579,1564,1054,1381,2225,1624,1343,795,1521,584,1262,2415,595,831,2102,2517,1178,1385,2137,2607,941,1049,969,995,871,1522
20210204_MNSC502_SS8614_S2_R1_001_F6,0,91790,2038,1641,944,909,1991,2049,984,1456,945,1546,748,2163,865,1312,1035,528,1507,777,1114,605,717,1189,1827,578,847,799,2779,447,874,1604,1007,947,922,1388,3065,1411,1272,1005,841,1558,1303,793,370,1143,713,1336,655,479,764,945,1620,982,547,834,1197,1103,893,487,883,354,708,1374,400,550,1153,1492,789,808,1327,1539,2156,2320,2091,1277,1639,2604
20210204_MNSC502_SS8614_S2_R1_001_F7,0,136335,2463,2123,795,1246,2657,2286,1425,2287,1202,2124,1001,3018,996,1529,1190,675,2170,1052,1623,815,1052,1742,2518,788,1344,1273,4426,790,1509,2378,1656,1489,1578,2361,4224,1949,1757,1423,1151,2090,1666,1385,482,1602,916,1854,1045,751,1025,1090,2251,1291,859,1259,1559,1562,1191,685,1235,473,959,1753,524,778,1822,2328,1032,1201,2058,2434,4399,4161,4381,2289,2568,5033
20210204_MNSC502_SS8614_S2_R1_001_F8,0,130549,2446,1833,1014,1342,2982,3723,1217,2036,1038,1762,835,2557,1054,1742,1381,605,2101,983,1505,729,953,1637,2317,707,1153,1136,3789,652,1284,2156,1402,1227,1292,2093,3622,1758,1456,1290,1036,1832,1438,1113,503,1577,813,1645,831,551,1070,947,2004,1190,742,1021,1314,1421,886,573,1066,379,829,1418,409,694,1628,2037,1165,971,1802,2152,3424,3541,3636,1871,2465,4873
20210204_MNSC502_SS8614_S2_R1_001_unknown,22,84198,499,370,234,246,519,701,481,708,458,745,400,1014,399,586,446,253,697,333,565,315,339,627,976,290,451,446,1382,233,498,841,512,513,479,760,1414,662,707,531,406,705,561,396,172,492,335,589,307,248,313,404,782,502,272,428,506,480,377,208,397,195,323,609,160,228,512,688,390,304,587,695,639,675,707,461,466,892
20210204_MNSC503_SS8614_S3_R1_001_F1,0,401154,9136,8056,5944,5311,10565,12267,4400,6989,4134,7414,4089,10249,882,1434,874,532,1511,873,5515,3042,3266,5522,9256,3160,3651,3868,11602,1950,4494,7854,4922,4184,4219,6643,12777,5132,6903,4868,4292,6420,6087,3686,1779,4714,3462,5033,3226,2362,3431,4048,7387,4586,2822,4587,4985,4109,3909,2391,3752,1773,2821,6015,1817,2362,333,514,471,288,468,2529,11826,13410,12652,7933,9760,18763
20210204_MNSC503_SS8614_S3_R1_001_F2,956,464309,5484,3447,2647,2243,4082,7125,5615,8323,5735,9478,5380,13234,6372,9467,7501,3577,11517,5177,7146,3811,4171,7947,11556,3983,4722,4771,15871,2361,5405,9856,5943,5741,5319,8642,17214,7380,9101,6770,5567,8569,6823,4906,2205,5571,4063,6732,3638,3037,4617,5295,9130,5733,3289,5163,6782,5845,4380,2876,5140,2342,3742,7202,2240,3054,8688,11154,6369,5762,10107,10386,2513,2939,2967,3783,2633,4470
