sgRNA	Gene	P3_F1.fq	P3_F2.fq	P3_F3.fq	P3_F4.fq	P3_F5.fq	P3_F6.fq	P3_F7.fq	P3_F8.fq
SOX9_g1	SOX9	9865	13147	8218	8792	1869	2637	4839	2312
SOX9_g2	SOX9	7387	9940	8164	6042	1141	1747	3712	1723
SOX9_g3	SOX9	8002	12020	8509	7160	1665	2011	3385	1331
SOX9_g4	SOX9	4722	7072	4428	4012	702	1116	2190	993
SOX9_g5	SOX9	12462	15886	9643	9015	1614	3178	4767	1739
SOX9_g6	SOX9	17274	22579	14803	13452	2568	5223	7273	3373
PROM1_g1	PROM1	12297	14175	9392	9555	4088	4519	4478	1378
PROM1_g2	PROM1	16998	20384	10355	11985	4139	6630	6084	2296
PROM1_g3	PROM1	13178	15771	8360	9381	3730	5054	4239	3043
PROM1_g4	PROM1	20457	23498	13124	13650	5304	8548	7274	2921
PROM1_g5	PROM1	12054	14525	7508	7685	3727	4720	4576	1551
PROM1_g6	PROM1	30113	35305	20020	21173	9187	12641	10579	4336
KRT20_g1	KRT20	12649	13639	8009	8135	3842	4554	4321	2534
KRT20_g2	KRT20	17275	19693	10801	10992	5827	6698	4881	1991
KRT20_g3	KRT20	13180	16435	9675	8536	3531	5430	4340	1770
KRT20_g4	KRT20	6219	6880	3637	3952	1335	2981	1782	984
KRT20_g5	KRT20	21102	22694	12512	13935	6148	9650	6749	2891
KRT20_g6	KRT20	8767	10469	6522	6296	3027	3863	3132	1076
LRIG1_g1	LRIG1	15267	17898	10056	10248	5260	5141	4598	1801
LRIG1_g2	LRIG1	9402	10785	5679	5759	2168	3943	2544	1105
LRIG1_g3	LRIG1	7784	10049	5408	5628	2693	3004	2480	1081
LRIG1_g4	LRIG1	16042	22108	12484	12805	5222	8397	6248	2416
LRIG1_g5	LRIG1	24115	29131	16297	17242	7327	9397	8013	3447
LRIG1_g6	LRIG1	10625	10708	6749	6923	2468	4536	2943	1353
CTRL0001_g1	CTRL	9298	12082	6126	5553	2560	3330	3415	1641
CTRL0002_g2	CTRL	8623	11118	5574	5857	2325	3633	2560	1367
CTRL0003_g3	CTRL	32799	38250	21999	20990	9207	12730	11804	4171
CTRL0004_g4	CTRL	6263	6867	3877	4136	1961	2441	2086	857
CTRL0005_g5	CTRL	10483	12627	6874	6512	2627	4443	3674	1242
CTRL0006_g6	CTRL	19573	25558	12219	12877	5145	7777	6701	2936
CTRL0007_g7	CTRL	12319	15396	7382	7648	2226	5683	4324	1629
CTRL0008_g8	CTRL	12577	15063	8864	8285	3669	5165	4301	1981
CTRL0009_g9	CTRL	10667	12625	6714	7467	2777	4071	3861	1700
CTRL0010_g10	CTRL	17400	21367	10558	12636	5861	6687	5693	2353
ROSA26_g1	ROSA26	35453	41364	22493	22012	10701	12906	11128	4337
ROSA26_g2	ROSA26	14341	17308	9118	8955	4602	5700	4622	1927
ROSA26_g3	ROSA26	20206	23793	12029	12444	5438	7901	6686	2578
ROSA26_g4	ROSA26	13465	15820	8160	9084	3085	5196	3908	1526
ROSA26_g5	ROSA26	12007	13953	8470	8923	3016	4804	4269	1960
