sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
EGFP_g1	EGFP	6701.5	15592	6701.5	15592	1.2181	3.9517e+07	7.2816e+06	3.2945	0.9995	0.00049615	0.00099229	0.075414	True
EGFP_g2	EGFP	11205	19168	11205	19168	0.77449	3.1702e+07	1.2175e+07	2.2821	0.98875	0.01125	0.022499	0.45031	True
KRT20_g3	KRT20	7804.9	14392	7804.9	14392	0.88273	2.1695e+07	8.4805e+06	2.262	0.98811	0.011894	0.023788	0.45031	True
EGFP_g5	EGFP	10033	17166	10033	17166	0.77477	2.544e+07	1.0901e+07	2.1604	0.98461	0.015388	0.030776	0.45031	True
KRT20_g1	KRT20	6407	12097	6407	12097	0.9168	1.6187e+07	6.9616e+06	2.1565	0.98436	0.015642	0.031283	0.45031	True
KRT20_g5	KRT20	13569	21640	13569	21640	0.67339	3.2574e+07	1.4743e+07	2.1021	0.98222	0.017775	0.035551	0.45031	True
KRT20_g2	KRT20	11118	16934	11118	16934	0.6069	1.6909e+07	1.2081e+07	1.6731	0.95281	0.047186	0.094372	0.98785	True
EGFP_g3	EGFP	6147.8	9907	6147.8	9907	0.6883	7.066e+06	6.6799e+06	1.4545	0.92646	0.073542	0.14708	0.98785	True
SOX9_g2	SOX9	13832	8899.4	13832	8899.4	-0.63616	1.2165e+07	1.5029e+07	1.2732	0.10147	0.89853	0.20293	0.98785	False
KRT20_g6	KRT20	7396.8	10569	7396.8	10569	0.51486	5.0327e+06	8.0371e+06	1.1191	0.86785	0.13215	0.2643	0.98785	True
EGFP_g4	EGFP	7732.9	10831	7732.9	10831	0.48599	4.7981e+06	8.4023e+06	1.0687	0.85685	0.14315	0.2863	0.98785	True
SOX9_g1	SOX9	14898	10881	14898	10881	-0.4532	8.0656e+06	1.6187e+07	0.99864	0.15898	0.84102	0.31797	0.98785	False
