id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.71922	0.71755	0.957424	6	0	0.068009	0.03883	0.097366	0.828359	1	3	0.068009
LRIG1	6	0.86401	0.86292	0.957424	8	0	0.10259	0.08789	0.18634	0.828359	2	3	0.10259
AAVS1	10	0.95687	0.95742	0.957424	10	0	0.053054	0.18073	0.35975	0.828359	3	3	0.053054
mKate2	6	0.90318	0.90309	0.957424	9	0	0.031177	0.24639	0.37283	0.828359	4	2	0.031177
PROM1	6	0.81245	0.8112	0.957424	7	0	0.080756	0.35434	0.48738	0.828359	5	2	0.080756
KRT20	6	0.50916	0.52572	0.957424	4	1	-0.070181	0.36283	0.49702	0.828359	6	1	-0.070181
CTRL	10	0.46053	0.59725	0.957424	3	2	0.062376	0.45684	0.62633	0.894757	7	1	0.062376
ROSA26	10	0.64619	0.69458	0.957424	5	1	0.036853	0.59101	0.72422	0.905275	8	1	0.036853
CCR5	10	0.3611	0.50388	0.957424	2	2	0.0063133	0.97012	0.97117	0.999995	9	0	0.0063133
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-0.32872	1.0	1.0	0.999995	10	0	-0.32872
